"Id","SalePrice"
1461,125018.787533333
1462,152715.2163
1463,180907.4513
1464,184862.294666667
1465,196983.603266667
1466,184207.436233333
1467,173045.319733333
1468,177108.7525
1469,176607.437066667
1470,126887.414066667
1471,187219.5552
1472,96056.5521333333
1473,98778.1684666667
1474,151235.873466667
1475,134247.1885
1476,381644.259033333
1477,263606.553033333
1478,307527.831966667
1479,284944.2201
1480,475922.841466667
1481,312677.391966667
1482,209600.219433333
1483,180967.187233333
1484,172282.433233333
1485,174108.366833333
1486,200875.064066667
1487,322930.739366666
1488,236830.8673
1489,209124.667333333
1490,215472.9022
1491,190767.103633333
1492,105585.326933333
1493,172010.489466667
1494,301719.9445
1495,298155.321433333
1496,231586.7122
1497,183101.781
1498,155894.974866667
1499,153887.364366667
1500,164104.766866667
1501,173789.414766667
1502,157476.4209
1503,283125.098733333
1504,234467.203166667
1505,220345.963633333
1506,193345.761166667
1507,242739.470166667
1508,193958.461366667
1509,168281.4592
1510,152090.7309
1511,150130.250866667
1512,163907.306333333
1513,146366.020033333
1514,149815.963733333
1515,188424.142533333
1516,152772.931866667
1517,153567.480966667
1518,133895.736633333
1519,211476.6185
1520,139559.4055
1521,143437.1905
1522,162197.6182
1523,120953.9649
1524,126116.1153
1525,126210.701066667
1526,127180.065966667
1527,107306.754066667
1528,130388.803566667
1529,142818.2401
1530,165415.057933333
1531,133030.9035
1532,106524.439166667
1533,141745.942766667
1534,119233.9555
1535,149585.681766667
1536,117679.555066667
1537,86951.3754666667
1538,161562.489466667
1539,212934.817833333
1540,115549.826366667
1541,143679.995
1542,145037.388266667
1543,188179.529166667
1544,87185.6256333333
1545,105262.9946
1546,124994.715266667
1547,139106.106666667
1548,133307.263933333
1549,117451.261233333
1550,143630.515833333
1551,116766.9364
1552,141295.315566667
1553,141696.851933333
1554,115491.307233333
1555,182603.3627
1556,127006.878066667
1557,128231.784866667
1558,103340.786266667
1559,124323.244866667
1560,146010.972266667
1561,140969.884266667
1562,128527.577133333
1563,126747.510133333
1564,158528.312966667
1565,159493.642433333
1566,231414.245433333
1567,90247.6424666666
1568,225613.5873
1569,144784.417166667
1570,134400.453466667
1571,127848.847333333
1572,140934.976
1573,222290.455333333
1574,125020.928966667
1575,214805.766066667
1576,225495.6139
1577,202687.169133333
1578,149150.5922
1579,145340.324666667
1580,191353.908
1581,143728.0632
1582,129284.213666667
1583,311508.082533334
1584,235182.756933333
1585,139895.345333333
1586,81018.7096
1587,104568.825933333
1588,147678.2593
1589,100037.241433333
1590,130102.815333333
1591,105665.377333333
1592,132095.3169
1593,121720.440866667
1594,143018.346033333
1595,129852.4418
1596,234470.0357
1597,183063.3866
1598,187849.3729
1599,185882.654066667
1600,182253.981266667
1601,79177.1525333333
1602,113202.7123
1603,92848.9524666667
1604,276765.400233333
1605,243498.870266667
1606,167705.015
1607,164847.2813
1608,216544.769566667
1609,198436.155466667
1610,171775.082766667
1611,152758.631033333
1612,172705.482766667
1613,165976.117933333
1614,125988.421966667
1615,89648.2143
1616,83366.8691666667
1617,90485.4872333333
1618,127117.519233333
1619,132728.7034
1620,163604.557633333
1621,146806.996933333
1622,146754.301633333
1623,260237.9568
1624,204434.484066667
1625,124438.309033333
1626,166232.775933333
1627,185986.3232
1628,266413.333433333
1629,176847.1729
1630,341183.2079
1631,213922.135833333
1632,246098.666266667
1633,172237.664333333
1634,186242.392066667
1635,181770.480433333
1636,167215.933066667
1637,192594.873533333
1638,205943.229
1639,184820.253
1640,242384.458733333
1641,188936.5448
1642,229715.690633333
1643,230402.151666667
1644,228727.3171
1645,195255.087733333
1646,161942.418566667
1647,163843.365433333
1648,141847.126766667
1649,138507.045466667
1650,123490.483233333
1651,122423.014266667
1652,94231.2681666667
1653,98882.2382
1654,152464.104966667
